idPOI,namePOI,category1,category2,category3,category4
Heritage-ES-Ceuti-1,Pisando fuerte,Sculpture,Outdoors,Human,
Heritage-ES-Ceuti-2,Alegoria de la Vida,Mural,Outdoors,Human,Art
Heritage-ES-Ceuti-3,Museo 7 Chimeneas,Museum,Building,Architecture,Art
Heritage-ES-Ceuti-4,Museo de Arte Contemporaneo La Conservera,Museum,Building,Architecture,Art
Heritage-ES-Ceuti-5,Iglesia Santa Maria Magdalena,Church,Building,Architecture,Art
Heritage-ES-Ceuti-6,Ruinas Arabes de Ceuti,Museum,Building,Architecture,Outdoors
Heritage-ES-Ceuti-7,Ermita de San Roque,Church,Building,Architecture,Outdoors
Heritage-ES-Ceuti-8,Mi Jardin Metafisico,Mural,Outdoors,Nature,Art
Heritage-ES-Ceuti-9,Noria del Boticario,Noria,Outdoors,Nature,Art
Heritage-ES-Ceuti-10,Ninos Banandose en La Acequia de Ceuti,Mural,Outdoors,Human,Art
Heritage-ES-Ceuti-11,El Mural de San Roque,Mural,Outdoors,Human,Art
Heritage-ES-Ceuti-12,Reina Mariana,Sculpture,Outdoors,Human,
Heritage-ES-Ceuti-13,La Mujer Conservera,Sculpture,Outdoors,Human,Square
Heritage-ES-Ceuti-14,Escultura Miguel de Cervantes,Sculpture,Outdoors,Human,
Heritage-ES-Ceuti-15,Homenaje al Emigrante,Sculpture,Outdoors,Human,Square
Heritage-ES-Ceuti-16,Torso,Sculpture,Outdoors,Human,Park